"left","right"
"ARTHUR","How's it looking at your end, boys?"
"FRED & GEORGE","Brilliant."
"FRED & GEORGE","Bloody hell."
"FRED & GEORGE","What's the Minister of Magic doing here?"
"FRED & GEORGE","To what do we owe the pleasure,"
"FRED & GEORGE","Minister?"
"FRED & GEORGE","I think we both know the answer"
"FRED & GEORGE","to that question, Mr. Potter."
"FRED & GEORGE","And this is...?"
"FRED & GEORGE","the last will and testament..."
"FRED & GEORGE","...of Albus Percival Wulfric"
"FRED & GEORGE","Brian Dumbledore."
"FRED & GEORGE","First, to Ronald Bilius Weasley..."
"FRED & GEORGE","...I leave my Deluminator..."
"FRED & GEORGE","...a device of my own making..."
"FRED & GEORGE","...in the hope that,"
"FRED & GEORGE","when things seem most dark..."
"FRED & GEORGE","...it will show him the light."""
"FRED & GEORGE","- Dumbledore left this for me?"
"FRED & GEORGE","- Yeah."
"FRED & GEORGE","Brilliant."
"FRED & GEORGE","What is it?"
"FRED & GEORGE","Wicked."
"FRED & GEORGE","""To Hermione Jean Granger..."
"FRED & GEORGE","...I leave my copy of"
"FRED & GEORGE","The Tales of Beedle the Bard..."
"FRED & GEORGE","...in the hope that she find it"
"FRED & GEORGE","entertaining and instructive."""
"RON","Mom used to read me those."
"RON","""The Wizard and the Hopping Pot."""
"RON","""Babbitty Rabbitty"
"RON","and the Cackling Stump."""
"RON","Come on, Babbitty Rabbitty."
"RON","No?"
"RON","""To Harry James Potter..."
"RON","...I leave the Snitch he caught"
"RON","in his first Quidditch match at Hogwarts..."
"RON","...as a reminder"
"RON","of the rewards of perseverance..."
"RON","...and skill."""
"RON","- Is that it, then?"
"RON","- Not quite."
"Dumbledore left you a second bequest","The sword of Godric Gryffindor."
"Dumbledore left you a second bequest","Unfortunately, the sword of Gryffindor"
"Dumbledore left you a second bequest","was not Dumbledore's to give away."
"Dumbledore left you a second bequest","As an important historical artifact,"
"Dumbledore left you a second bequest","it belongs--"
"HERMIONE","To Harry."
"HERMIONE","It belongs to Harry."
"HERMIONE","It came to him when he needed it"
"HERMIONE","in the Chamber of Secrets."
"HERMIONE","The sword may present itself"
"HERMIONE","to any worthy Gryffindor."
"HERMIONE","That does not make it"
"HERMIONE","that wizard's property."
"HERMIONE","And, in any event, the current"
"HERMIONE","whereabouts of the sword are unknown."
"HERMIONE","- The sword is missing."
"HERMIONE","I don't know what you're up to,"
"HERMIONE","Mr. Potter..."
"HERMIONE","...but you can't fight this war"
"HERMIONE","on your own."
"HERMIONE","He's too strong."
"HERMIONE","[FOLK MUSIC PLAYING]"
"LUNA","Hello, Harry."
"LUNA","I've interrupted a deep thought, haven't I?"
"LUNA","I can see it growing smaller in your eyes."
"LUNA","Of course not. How are you, Luna?"
"LUNA","Very well. Got bitten by a garden gnome"
"LUNA","only moments ago."
"LUNA","Gnome saliva is very beneficial."
"LUNA","Xenophilius Lovegood."
"LUNA","We live just over the hill."
"LUNA","Pleasure to meet you, sir."
"LUNA","I trust you know, Mr. Potter,"
"LUNA","that we at The Quibbler..."
"LUNA","...unlike those toadies"
"LUNA","at The Daily Prophet..."
"LUNA","...fully supported Dumbledore"
"LUNA","in his lifetime..."
"LUNA","...and, in his death,"
"LUNA","support you just as fully."
"LUNA","Thank you."
"LUNA","Come, Daddy."
"LUNA","Harry doesn't want to talk to us right now."
"LUNA","He's just too polite to say so."
"XENOPHILIUS","Harry Potter."
"XENOPHILIUS","Excuse me, sir? May I sit down?"
"XENOPHILIUS","Mr. Potter. By all means. Here."
