"left","right"
"DUMBLEDORE","Dementors are vicious creatures."
"DUMBLEDORE","They'll not distinguish..."
"DUMBLEDORE","...between the one they hunt"
"DUMBLEDORE","and the one who gets in their way."
"DUMBLEDORE","Therefore, I must warn"
"DUMBLEDORE","each and every one of you..."
"DUMBLEDORE","...to give them no reason"
"DUMBLEDORE","to harm you."
"DUMBLEDORE","It is not in the nature"
"DUMBLEDORE","of a dementor to be forgiving."
"DUMBLEDORE","But you know,"
"DUMBLEDORE","happiness can be found..."
"DUMBLEDORE","...even in the darkest of times..."
"DUMBLEDORE","...if one only remembers"
"DUMBLEDORE","to turn on the light."
"SEAMUS","Fortuna Major."
"SEAMUS","She just won't let me in."
"SEAMUS","-Fortuna Major."
"SEAMUS","-no, No. Wait, wait."
"SEAMUS","Watch this."
"SEAMUS","-Amazing. Just with My voice."
"SEAMUS","-Fortuna Major."
"SEAMUS","-Yes, All right. Go in."
"SEAMUS","-Thank you."
"SEAMUS","Still doing that after three years."
"SEAMUS","-She can't even sing."
"RON","Green. That's a monkey."
"RON","Do not give him one again."
"RON","Hey, Neville, try an elephant."
"SEAMUS","I think we have a winner."
"SEAMUS","-Oh, don't try one of them."
"RON","Look at him. His face."
"WOMAN","Welcome, my children."
"WOMAN","In this room, you shall explore"
"WOMAN","the noble art of Divination."
"WOMAN","In this room, you shall discover"
"WOMAN","if you possess the Sight."
"WOMAN","Hello. I am Professor Trelawney."
"WOMAN","Together we shall cast ourselves"
"WOMAN","into the future."
"WOMAN","This term, we'll focus on Tasseomancy,"
"WOMAN","the art of reading tea leaves."
"WOMAN","So please, take the cup"
"WOMAN","of the person sitting opposite you."
"WOMAN","What do you see?"
"WOMAN","The truth lies buried like a sentence"
"WOMAN","deep within a book, waiting to be read."
"WOMAN","But first, you must broaden"
"WOMAN","your minds."
"WOMAN","-First, you must look beyond."
"WOMAN","-What a load of rubbish."
"WOMAN","-Where did you come from?"
"WOMAN","-Me?"
"WOMAN","-l've been here all this time."
"WOMAN","-you, boy...."
"WOMAN","Is your grandmother quite well?"
"WOMAN","I think so."
"WOMAN","I wouldn't be so sure of that."
"WOMAN","Give me the cup."
"WOMAN","Pity."
"WOMAN","Broaden your minds."
"WOMAN","Your aura is pulsing, dear."
"WOMAN","Are you in the beyond?"
"WOMAN","-l think you are."
"WOMAN","-sure."
"WOMAN","Look at the cup."
"WOMAN","Tell me what you see."
"WOMAN","Yeah. Um, well...."
"WOMAN","Harry's got sort of a wonky cross."
"WOMAN","That's trials and suffering."
"WOMAN","And that there could be the sun"
"WOMAN","and that's happiness."
"WOMAN","So..."
"WOMAN","...you're gonna suffer,"
"WOMAN","but you're gonna be happy about it."
"WOMAN","Give me the cup."
"TRELAWNEY","Oh, my dear boy."
"TRELAWNEY","My dear..."
"TRELAWNEY","...you have the Grim."
"SEAMUS","The Grin? What's the Grin?"
"BEM","Not the Grin, you idiot. The Grim."
"BEM","got anything to do with Sirius Black?"
"BEM","Divination's a woolly discipline."
"BEM","Now, Ancient Runes,"
"BEM","that's a fascinating subject."
"BEM","Ancient Runes? Exactly how many"
"BEM","classes are you taking?"
"HERMlONE","A fair few."
"HERMlONE","Hang on. That's not possible."
"HERMlONE","Ancient Runes is in the"
"HERMlONE","same time as Divination."
"HERMlONE","You have to be in two"
"HERMlONE","classes at once."
"HERMlONE","anyone be in two classes at once?"
"HERMlONE","Broaden your minds. Use your
Inner Eye to see the future."
"HERMlONE","That's it. Come on, now. Come closer."
"HERMlONE","Less talking, if you don't mind."
"HERMlONE","I got a real treat for you today."
"HERMlONE","A great lesson. So follow me."
"HERMlONE","Right, you lot. Less chattering."
"HERMlONE","Form a group over there."
"HERMlONE","And open your books to page 49."
"HERMlONE","Exactly how do we do that?"
"HERMlONE","Just stroke the spine, of course."
"HERMlONE","Goodness me."
"HERMlONE","-l'm okay. Okay."
"HERMlONE","-l think they're funny."
"HERMlONE","Witty. God, this place"
"HERMlONE","has gone to the dogs."
"HERMlONE","Wait until Father hears Dumbledore's"
"HERMlONE","got this oaf teaching classes."
"HERMlONE","Shut up, Malfoy."
"HERMlONE","Ooh...."
"HERMlONE","Dementor! Dementor!"
"HERMlONE","Yeah."
"HERMlONE","Tah-tah-dah-dah!"
"HERMlONE","Isn't he beautiful?"
"HERMlONE","Say hello to Buckbeak."
"HERMlONE","Hagrid, exactly what is that?"
"HAGRID","That, Ron, is a hippogriff."
"HAGRID","First thing you wanna know"
"HAGRID","is they're very proud creatures."
"HAGRID","Very easily offended."
"HAGRID","You do not want to insult a hippogriff."
"HAGRID","It may be the last thing you ever do."
"HAGRID","Now, who'd like to come"
"HAGRID","and say hello?"
"HAGRID","Well done, Harry. Well done."
"HAGRID","Come on now."
"HAGRID","Now..."
"HAGRID","...you have to let him make the first"
"HAGRID","move. lt's only polite. So..."
"HAGRID","...step up. Give him a nice bow."
"HAGRID","Then you wait"
"HAGRID","and see if he bows back."
"HAGRID","If he does, you can go and touch him."
"HAGRID","If not-- Well,"
"HAGRID","we'll get to that later."
"HAGRID","Just make your bow."
"HAGRID","Nice and low."
"HAGRID","Back off, Harry. Back off."
"HAGRID","Keep still."
"HAGRID","Oh, well done, Harry. Well done."
"HAGRID","Here, you big brute, you."
"HAGRID","Right. I think you can go"
"HAGRID","and pat him now."
"HAGRID","Go on. Don't be shy."
"GIRL","Ow!"
"GIRL","Nice and slow. Slow."
"GIRL","Not so fast, Harry."
"GIRL","Slow down, Harry. That's it...."
"GIRL","Nice and slow."
"GIRL","Now let him come to you."
"GIRL","Slowly, now, slowly, slowly...."
"GIRL","That's it...."
"GIRL","Yes!"
"GIRL","Well done! Well done, Harry,"
"GIRL","well done!"
"BEM","Does he get to fly?"
"BEM","-What?"
"BEM","-come on."
"BEM","just behind the wing joint."
"BEM","Don't pull out any of his feathers,"
"BEM","because he won't thank you for that."
"HARRY","Whoa!"
"HARRY","Ha! Whoo-hoo!"
"HARRY","AND CLAPPlNG]"
"HARRY","and well done, Buckbeak."
"HERMlONE","That was wicked, Harry!"
"HERMlONE","Oh, please."
"HAGRID","Well done, well done."
"HAGRID","-How am l doing me First day?"
"HAGRID","-Brilliant, professor."
"HAGRID","You're not dangerous at all, are you,"
"HAGRID","you great ugly brute!"
"HAGRID","Malfoy, no...."
"HAGRID","-Ow!"
"HAGRID","Buckbeak!"
"HAGRID","Whoa, whoa, whoa...."
"HAGRID","Whoa! Buckbeak!"
"HAGRID","Away, you silly creature...."
"HAGRID","-lt's killed me! lt's killed me!"
"HAGRID","-Calm down. It's just a scratch!"
"HAGRID","Hagrid!"
"HAGRID","-he has to be taken to The hospital."
"HAGRID","-l'm the teacher. l'll do it."
"HAGRID","-Class dismissed!"
"DRACO","You and your bloody chicken!"
"GIRL","Does it hurt terribly, Draco?"
"GIRL","Still, l consider myself lucky."
"GIRL","Madam Pomfrey said another minute"
"GIRL","and l could've lost my arm."
"GIRL","-l can't do homework for weeks."
"GIRL","-Listen to The idiot."
"GIRL","-He's really laying it on thick, isn't he?"
"GIRL","-At least Hagrid didn't get fired."
"GIRL","I hear Draco's father's furious."
"GIRL","We haven't heard the end of this."
"GIRL","Sirius Black!"
"HERMlONE","Dufftown? That's not far from here."
"HERMlONE","You don't think he'd come"
"HERMlONE","to Hogwarts, do you?"
"HERMlONE","-Dementors?"
"HERMlONE","He slipped past them once."
"HERMlONE","Who's to say he won't do it again?"
"HERMlONE","That's right. Black could be anywhere."
"HERMlONE","It's like trying to catch smoke."
"HERMlONE","Like trying to catch smoke"
"HERMlONE","with your bare hands."
"LUPlN","Intriguing, isn't it?"
"LUPlN","Would anyone like to venture"
"LUPlN","a guess..."
"LUPlN","...as to what is inside?"
"LUPlN","-That's a boggart, that is."
"LUPlN","-Very Good, Mr. Thomas."
"LUPlN","Now, can anybody tell me"
"LUPlN","what a boggart looks like?"
"LUPlN","-When did She get here?"
"LUPlN","Boggarts are shape-shifters."
"LUPlN","They take the shape of whatever"
"LUPlN","a person fears the most."
"LUPlN","-That's what makes them so--"
"LUPlN","-So terrifying, Yes, Yes, yes...."
"LUPlN","Luckily, a very simple charm exists"
"LUPlN","to repel a boggart."
"LUPlN","Let's practice it now."
"LUPlN","Without wands, please."
"LUPlN","After me. Riddikulus!"
"LUPlN","A little louder and very clear."
"Listen","-Riddikulus!"
"Listen","-Riddikulus!"
"Listen","-This Class Is ridiculous."
"Listen","So much for the easy part. You see,"
"Listen","the incantation alone is not enough."
